mouse_gene,human_gene,mouse_delta_AD_minus_WT,human_delta_AD_minus_Control,human_p,human_fdr,mouse_padj,same_direction
Epb41l1,EPB41L1,0.1441788242091579,-0.009048608955325665,1.0,1.0,0.0002765269139714,False
Erc2,ERC2,-0.2102924852924853,-0.09158684781422766,0.8857142857142857,1.0,0.0278941740570722,True
Ermn,ERMN,0.6651525888769151,-0.023945021524273136,0.8857142857142857,1.0,1.3202998153212397e-49,False
Faim2,FAIM2,-0.2139107963026746,-0.11439717770207136,0.6857142857142857,1.0,0.0,True
Fam131a,FAM131A,-0.2781970466508909,-0.07633556576945466,0.11428571428571428,0.9506493506493506,0.0,True
Fam162a,FAM162A,0.063738457425484,-0.04698970033581029,0.34285714285714286,1.0,6.281078948978024e-31,False
Fam3c,FAM3C,-0.4743380669791538,0.0028138773811550166,0.7,1.0,1.3610605389926563e-22,False
Fam81a,FAM81A,0.1001571388789434,0.26680657686866205,0.8857142857142857,1.0,0.2800427662609484,True
Far1,FAR1,0.122352728970376,0.05874911165947083,1.0,1.0,0.1016726287644101,True
Fgfr1op2,FGFR1OP2,0.3145016335828799,0.2060797203958567,0.6857142857142857,1.0,2.0891768841929305e-13,True
Fgfr2,FGFR2,0.1761976481903974,0.10846078431372552,0.1,0.9506493506493506,9.652174870132693e-85,True
Gabrg2,GABRG2,-0.7973837536805118,-0.017228294609081485,1.0,1.0,4.789154123023454e-33,True
Gfap,GFAP,0.0405438003024859,0.003642738005529389,0.4857142857142857,1.0,3.5567221586418823e-06,True
Ghitm,GHITM,-0.0671315827490736,0.06579533159500395,0.02857142857142857,0.9506493506493506,5.776461349985699e-43,False
Glrx2,GLRX2,0.3719987353915928,-0.13803656424215077,0.1,0.9506493506493506,1.2975754583052322e-15,False
Glul,GLUL,-0.0335910489852977,0.009640150688193905,0.8857142857142857,1.0,6.871069302231415e-33,False
Gnao1,GNAO1,-0.0897206309650351,0.008985220112636583,0.8857142857142857,1.0,5.772458949581483e-31,False
Gnaq,GNAQ,-0.3094592353107929,-0.0115001068106384,1.0,1.0,8.501417349720603e-24,True
Gnas,GNAS,0.0927706063100807,0.03315254770599141,0.2,0.9695364238410596,0.0002641846906399,True
Golga7b,GOLGA7B,0.0004009924668058,-0.7358644217013316,0.1,0.9506493506493506,0.992447738155264,False
Golgb1,GOLGB1,0.4718670566996926,-0.0750484247045532,0.6857142857142857,1.0,3.792646393595454e-05,False
Gphn,GPHN,-0.0318170480727282,-0.00020826102047899475,1.0,1.0,1.3112910597020104e-231,True
Gpm6a,GPM6A,0.0013973246405051,0.16368576166999393,0.34285714285714286,1.0,0.1158640131336325,True
Grb2,GRB2,0.0113279652610741,0.05344410221631957,0.4,1.0,0.5979236876424534,True
Gria2,GRIA2,0.1206336380483644,-0.12812105652433226,0.2,0.9695364238410596,1.438635438082406e-122,False
Gsk3b,GSK3B,0.2544135887016998,-0.34379569604945237,0.4,1.0,8.805363923535748e-07,False
Gtf2h5,GTF2H5,-0.0242210628055457,0.02942655545473208,0.4857142857142857,1.0,0.0021430760316567,False
Herc1,HERC1,0.1270422381110566,-0.02574735127464256,0.1,0.9506493506493506,8.157749681391966e-11,False
Hlf,HLF,0.0281098380283163,0.04137531428674557,0.7,1.0,0.3532807009732479,True
Hmgb1,HMGB1,-0.2786366790168563,-0.014296977579185688,0.6857142857142857,1.0,0.0,True
