gene,n_disease,n_control,median_disease,median_control,delta_disease_minus_control,cliffs_delta,p_value,fdr_BH,delta_ci95_lo,delta_ci95_hi
RBM39,4,4,0.7470990235847363,0.8273283754787684,-0.08022935189403202,-0.375,0.4857142857142857,1.0,,
PRPF4B,4,4,0.45264365533173745,0.3755373232730203,0.07710633205871714,0.375,0.4857142857142857,1.0,,
CAPZA2,4,4,0.39212182009427715,0.6892414643819457,-0.2971196442876685,-0.375,0.4857142857142857,1.0,,
PCM1,4,4,0.8760888501742161,0.8136371097651237,0.062451740409092404,0.375,0.4857142857142857,1.0,,
BRD4,4,4,0.5913257359285531,0.638891546473465,-0.047565810544911935,-0.375,0.4857142857142857,1.0,,
CTNND2,4,4,0.9660065219120337,0.9811807412395401,-0.0151742193275064,-0.375,0.4857142857142857,1.0,,
PCF11,4,4,0.6163998851523526,0.7118356017451551,-0.09543571659280259,-0.375,0.4857142857142857,1.0,,
CCDC92,4,4,0.9305533596837945,0.9703349859338889,-0.039781626250094404,-0.375,0.4857142857142857,1.0,,
SLC25A3,4,4,0.4199657452977167,0.3047528135377188,0.11521293175999786,0.375,0.4857142857142857,1.0,,
LANCL1,4,4,0.49450337898810837,0.9497186000946747,-0.4552152211065663,-0.375,0.4857142857142857,1.0,,
CYFIP2,4,4,0.3753847243383124,0.42536947874761866,-0.049984754409306276,-0.375,0.4857142857142857,1.0,,
MAP6,4,4,0.7100007820185132,0.7382277847967993,-0.028227002778286048,-0.375,0.4857142857142857,1.0,,
KIF5A,4,4,0.8824338800419065,0.9492422741901865,-0.06680839414827999,-0.375,0.4857142857142857,1.0,,
KLHL24,4,4,0.22331223830503658,0.6905312392038057,-0.4672190008987691,-0.375,0.4857142857142857,1.0,,
ZEB2,4,4,0.6009952229299362,0.8718156734409519,-0.27082045051101566,-0.375,0.4857142857142857,1.0,,
PPP1R21,4,4,0.9165463007542931,0.8732286568039744,0.043317643950318674,0.375,0.4857142857142857,1.0,,
PPP2CA,4,4,0.32191565871199734,0.27138750399179656,0.05052815472020078,0.375,0.4857142857142857,1.0,,
FAM200B,4,4,0.28744256118158057,0.36054393856612543,-0.07310137738454486,-0.375,0.4857142857142857,1.0,,
OBSL1,4,4,0.5790951539626452,0.5443780915323049,0.03471706243034034,0.375,0.4857142857142857,1.0,,
SPAG9,4,4,0.7800246120473886,0.8116392499363922,-0.03161463788900365,-0.375,0.4857142857142857,1.0,,
SPTAN1,4,4,0.9559551124688832,0.9684847719019749,-0.0125296594330917,-0.375,0.4857142857142857,1.0,,
NBL1,4,4,0.22003107726010648,0.25878613933221845,-0.03875506207211196,-0.375,0.4857142857142857,1.0,,
NBEA,4,4,0.8450936663693132,0.8804118560463191,-0.03531818967700595,-0.375,0.4857142857142857,1.0,,
TRIM9,4,4,0.7586381147746035,0.7514343715817355,0.007203743192867984,0.375,0.4857142857142857,1.0,,
TRIP12,4,4,0.608793477292304,0.4362000744973188,0.17259340279498525,0.375,0.4857142857142857,1.0,,
P2RX7,4,4,0.7395342465753425,0.8387423103212577,-0.09920806374591518,-0.375,0.4857142857142857,1.0,,
ENSG00000278996,4,4,0.65808159136638,0.5227374653082648,0.1353441260581152,0.375,0.4857142857142857,1.0,,
CALU,4,4,0.7845808108603927,0.3236498950448445,0.4609309158155482,0.375,0.4857142857142857,1.0,,
OXR1,4,4,0.8841010635141142,0.9115223160878587,-0.027421252573744503,-0.375,0.4857142857142857,1.0,,
TPM3,4,4,0.7253233632309719,0.7663068315668361,-0.04098346833586419,-0.375,0.4857142857142857,1.0,,
RPL14,4,4,0.029003948134704145,0.5906593046872017,-0.5616553565524975,-0.375,0.4857142857142857,1.0,,
RPL3,4,4,0.7854790352556087,0.8554242497094438,-0.06994521445383506,-0.375,0.4857142857142857,1.0,,
RPL7L1,4,4,0.7425168684094531,0.8771179567988037,-0.1346010883893506,-0.375,0.4857142857142857,1.0,,
NCOA1,4,4,0.7945022883295194,0.8445957014904111,-0.050093413160891664,-0.375,0.4857142857142857,1.0,,
NCAM1,4,4,0.7869231553342807,0.8582033641464142,-0.07128020881213348,-0.375,0.4857142857142857,1.0,,
NDFIP1,4,4,0.9366582852027194,0.6932526653586977,0.24340561984402176,0.375,0.4857142857142857,1.0,,
ASB3,4,4,0.6208304577869795,0.57128662822613,0.04954382956084957,0.375,0.4857142857142857,1.0,,
GSTM3,4,4,0.49717250691952464,0.42094085051413,0.07623165640539464,0.375,0.4857142857142857,1.0,,
UBE2N,4,4,0.5073411790223776,0.6258614187223911,-0.11852023970001346,-0.375,0.4857142857142857,1.0,,
GSPT1,4,4,0.7081090174966352,0.6536203901573376,0.0544886273392976,0.375,0.4857142857142857,1.0,,
TNIK,4,4,0.7234175319488818,0.803030303030303,-0.07961277108142117,-0.375,0.4857142857142857,1.0,,
