gene,SRR24710558,SRR24710556,SRR24710554,SRR24710705,SRR24710703,SRR24710564,SRR24710562,SRR24710560
AKAP12,0.7478991596638656,0.4779874213836478,0.85,0.9790794979079498,0.9242902208201893,0.7357065803667745,0.9632914510963292,0.6845528455284553
AKAP13,0.6851851851851852,,0.9122807017543859,0.7391304347826086,0.7798013245033113,0.5984251968503937,,
AKAP5,0.7319932998324958,,,0.7701863354037267,0.9015706806282723,0.7133333333333334,0.822429906542056,0.7989130434782609
AKAP6,0.13927427961579508,0.6265822784810127,0.8163992869875223,0.8994818652849741,0.25835797134409827,0.8919597989949749,0.9001744524132583,0.43209876543209874
AKAP7,0.3953997809419496,0.32620320855614976,0.5952380952380952,,0.6637992831541218,,0.7168037602820212,0.5103926096997691
AKAP8,0.75,,,,0.6380417335473515,0.7633136094674556,,
AKAP8L,,,,,,0.9440389294403893,,
AKAP9,0.9150657229524772,0.4714285714285714,0.9478672985781991,0.9246231155778895,0.6391827800072966,0.9080882352941176,0.686979686979687,0.9537815126050421
AKIP1,,,,0.8449197860962567,0.8240556660039762,0.8775510204081632,,
AKIRIN1,,,0.8369565217391305,,0.8853658536585366,0.8409425625920471,0.892398090341535,
AKIRIN2,,,,0.9285714285714286,0.9426656738644825,0.9401544401544402,0.8933791917454859,
AKT1S1,,,,,0.9068852459016393,,,
AKT2,0.21393034825870647,,0.20555555555555555,,0.07633053221288516,0.11258278145695365,,
AKT3,0.42166025288620124,0.3561643835616438,0.425019425019425,0.43219076005961254,0.3836338190499712,0.444794952681388,0.600522911793037,0.5199645075421473
AKTIP,,,,0.1704745166959578,,,,
ALAD,0.9010356731875719,,,,,,,
ALCAM,0.7342406876790831,0.9641532756489494,0.9489795918367347,0.7372611464968153,0.964115933139089,,0.7966101694915254,
ALDH16A1,,,,,0.42670157068062825,0.3023255813953488,,
ALDH1B1,,,,,0.905587668593449,,,
ALDH2,,,,,0.02490726020137785,,,0.016935483870967744
ALDH3A2,,0.8347107438016529,0.8602941176470589,0.8788598574821853,0.8706240487062404,,,
ALDH5A1,0.9626497533474278,,,,0.9576968272620446,0.951063829787234,,
ALDH6A1,0.5626398210290827,0.8071216617210683,,0.9360655737704918,0.9506641366223909,0.5786314525810324,0.8795238095238095,0.8886986301369864
ALDH7A1,0.31412103746397696,0.3840304182509506,0.3509933774834437,0.14814814814814814,0.3921015514809591,0.5590778097982709,0.5553719008264463,0.4463087248322148
ALDOA,0.9863874345549738,,,0.991630030436253,0.9697199091597275,0.9891731424081027,0.9759536304535129,
ALDOC,0.9920954865228045,,,0.9955017837753994,,,,
ALG1,,,,,,0.8736842105263158,0.1111111111111111,
ALG12,,,,,0.14414414414414414,,,
ALG13,0.5758064516129032,0.6235294117647059,,0.6898148148148148,0.5868580060422961,0.7076023391812866,,
ALG14,,,,,0.08794788273615635,,0.11652542372881355,
ALG2,0.43315508021390375,,,,0.32061068702290074,,,
ALG5,,,,,,0.8051948051948052,,
ALG9,0.5904255319148937,0.38461538461538464,0.6323529411764706,0.6203208556149733,0.5582417582417583,0.6,,
ALKBH4,0.2577639751552795,0.4594594594594595,,,,,,
ALKBH5,,,,0.987012987012987,0.9928973793779085,,,
ALMS1,,,0.5,,,,,
ALOX12-AS1,,,,,0.40129449838187703,,,
AMACR,0.35294117647058826,,,0.5873015873015873,,,,
AMBRA1,0.19269102990033224,,,,,,,
AMD1,0.9607268464243846,0.09180790960451977,0.6985815602836879,0.5182432432432432,0.5821342925659473,0.5916666666666667,0.17120253164556962,0.6328502415458938
AMDHD2,,,,,0.740072202166065,0.7295081967213115,,
AMER2,0.6757469244288224,0.7239520958083833,0.624770079705702,0.7486744432661718,0.5916039796165979,0.5933014354066986,0.6161838790931989,0.6531440162271805
AMER3,0.7401812688821753,,,,0.7120921305182342,0.8591549295774648,0.5938864628820961,
AMFR,0.6957328385899815,,,,0.9670984988690109,0.610512129380054,0.9765402843601896,0.797752808988764
AMIGO1,,,0.8614718614718615,,0.7863247863247863,0.7125984251968503,0.8227692307692308,
AMN1,0.4741666666666667,,,0.56,0.7272407732864675,,,
AMOT,,,0.8952879581151832,,,,,
AMOTL1,,,,,,0.8727272727272727,0.9262295081967213,
AMOTL2,,0.028761061946902654,0.04573170731707317,,0.04003234937323089,,,
AMPH,,,0.9896157840083074,,0.9949910554561717,,,
AMY2B,0.44601769911504424,0.2903225806451613,0.5056179775280899,0.4566929133858268,0.4642857142857143,0.4657534246575342,,
AMZ2,,,,,0.986046511627907,,,
AMZ2P1,,,,,0.8206835330670218,,,
ANAPC1,,,0.4514285714285714,,0.511605415860735,0.5914634146341463,0.5893675527039414,
ANAPC10,0.307909604519774,,,0.19791666666666666,0.3613013698630137,0.25217391304347825,,
ANAPC13,,,,,0.920623671155209,,0.9228782287822879,
ANAPC15,,,,0.03089887640449438,,,,
ANAPC16,0.6407114624505929,0.6722338204592901,0.7705223880597015,0.1509090909090909,0.8764186633039092,0.7736220472440944,0.8173474070674621,0.837573385518591
ANAPC5,,0.9133858267716536,,,0.9367830741779251,,0.9524827750059397,0.8673469387755102
ANAPC7,0.669576059850374,,0.7424892703862661,0.7393767705382436,0.7208778840742825,,0.7829131652661064,
ANGEL2,,,,,0.9359243697478992,,0.9778571428571429,
ANGPTL2,,,,,0.7484143763213531,,,
ANK2,0.9177590897848132,0.9611752360965372,0.9562959757680658,0.873015873015873,0.9713432835820895,0.9163054351450484,0.9587587747287811,0.9886506935687264
ANK3,0.9479638009049773,0.8543478260869565,0.9048843187660668,0.9526558891454965,0.9597343295973433,0.7587412587412588,0.8927233814874265,0.9598108747044918
ANKDD1A,,,,,,,0.9074380165289256,
ANKFY1,0.9154411764705882,,0.9009009009009009,0.8942307692307693,0.9415353329944077,,,
ANKH,0.8084388185654009,0.8807692307692307,0.30228136882129275,0.8992731048805815,0.9215969215969216,0.8767334360554699,0.8191446842525979,0.9588688946015425
ANKHD1,0.8702702702702703,,,,,,0.9071661237785016,
ANKIB1,0.35365853658536583,0.23849765258215963,0.4417293233082707,0.33049403747870526,0.48759894459102904,0.29172932330827067,0.5391257420399352,
ANKLE2,0.5817923186344239,0.6195652173913043,0.8321678321678322,0.7132867132867133,0.6886134779240899,0.6428571428571429,0.6820851688693098,
ANKMY1,,,,0.5277777777777778,0.38,,,
ANKMY2,,,,,0.8845541401273885,,,
ANKRA2,,,,,0.889751552795031,0.9152542372881356,,
